ObjectID,HBR,HBRSigma,HBRSource,Mass,MassSigma,MassSource
1,,0,DISCOS DB,,0,DISCOS DB
2,,0,DISCOS DB,,0,DISCOS DB
3,,0,DISCOS DB,,0,DISCOS DB
4,,0,DISCOS DB,,0,DISCOS DB
5,,0,DISCOS DB,,0,DISCOS DB
6,,0,DISCOS DB,,0,DISCOS DB
7,,0,DISCOS DB,,0,DISCOS DB
8,,0,DISCOS DB,,0,DISCOS DB
9,,0,DISCOS DB,,0,DISCOS DB
10,,0,DISCOS DB,,0,DISCOS DB
11,,0,DISCOS DB,,0,DISCOS DB
12,,0,DISCOS DB,,0,DISCOS DB
13,,0,DISCOS DB,,0,DISCOS DB
14,,0,DISCOS DB,,0,DISCOS DB
15,,0,DISCOS DB,,0,DISCOS DB
16,,0,DISCOS DB,,0,DISCOS DB
17,,0,DISCOS DB,,0,DISCOS DB
18,,0,DISCOS DB,,0,DISCOS DB
19,,0,DISCOS DB,,0,DISCOS DB
20,,0,DISCOS DB,,0,DISCOS DB
21,,0,DISCOS DB,,0,DISCOS DB
22,,0,DISCOS DB,,0,DISCOS DB
23,,0,DISCOS DB,,0,DISCOS DB
24,,0,DISCOS DB,,0,DISCOS DB
25,,0,DISCOS DB,,0,DISCOS DB
26,,0,DISCOS DB,,0,DISCOS DB
27,,0,DISCOS DB,,0,DISCOS DB
28,,0,DISCOS DB,,0,DISCOS DB
29,,0,DISCOS DB,,0,DISCOS DB
30,,0,DISCOS DB,,0,DISCOS DB
31,,0,DISCOS DB,,0,DISCOS DB
32,,0,DISCOS DB,,0,DISCOS DB
34,,0,DISCOS DB,,0,DISCOS DB
35,,0,DISCOS DB,,0,DISCOS DB
36,,0,DISCOS DB,,0,DISCOS DB
43,,0,DISCOS DB,,0,DISCOS DB
44,,0,DISCOS DB,,0,DISCOS DB
45,,0,DISCOS DB,,0,DISCOS DB
46,,0,DISCOS DB,,0,DISCOS DB
47,,0,DISCOS DB,,0,DISCOS DB
48,,0,DISCOS DB,,0,DISCOS DB
49,,0,DISCOS DB,,0,DISCOS DB
50,,0,DISCOS DB,,0,DISCOS DB
51,1.06234679642625,1.23208898192683,SFK RCS Estimate,70.4435742226811,239.118728585919,SFK RCS Estimate
53,1.22280717405335,1.32634195251665,SFK RCS Estimate,78.3938667033077,241.004147062214,SFK RCS Estimate
54,,0,DISCOS DB,,0,DISCOS DB
55,,0,DISCOS DB,,0,DISCOS DB
56,,0,DISCOS DB,,0,DISCOS DB
57,,0,DISCOS DB,,0,DISCOS DB
58,,0,DISCOS DB,,0,DISCOS DB
59,,0,DISCOS DB,,0,DISCOS DB
60,,0,DISCOS DB,,0,DISCOS DB
61,,0,DISCOS DB,,0,DISCOS DB
62,,0,DISCOS DB,,0,DISCOS DB
63,,0,DISCOS DB,,0,DISCOS DB
64,,0,DISCOS DB,,0,DISCOS DB
65,,0,DISCOS DB,,0,DISCOS DB
66,,0,DISCOS DB,,0,DISCOS DB
67,,0,DISCOS DB,,0,DISCOS DB
68,,0,DISCOS DB,,0,DISCOS DB
70,,0,DISCOS DB,,0,DISCOS DB
71,,0,DISCOS DB,,0,DISCOS DB
72,,0,DISCOS DB,,0,DISCOS DB
73,,0,DISCOS DB,,0,DISCOS DB
74,1.5,0,Default,,0,DISCOS DB
75,1.5,0,Default,,0,DISCOS DB
76,,0,DISCOS DB,,0,DISCOS DB
77,,0,DISCOS DB,,0,DISCOS DB
79,1.5,0,Default,,0,DISCOS DB
80,,0,DISCOS DB,,0,DISCOS DB
81,,0,DISCOS DB,,0,DISCOS DB
82,,0,DISCOS DB,,0,DISCOS DB
83,,0,DISCOS DB,,0,DISCOS DB
84,,0,DISCOS DB,,0,DISCOS DB
85,0.05,0.03,SFK RCS Estimate,0.0701669986007386,0.15050280405901,SFK RCS Estimate
87,,0,DISCOS DB,,0,DISCOS DB
91,,0,DISCOS DB,,0,DISCOS DB
92,,0,DISCOS DB,,0,DISCOS DB
95,,0,DISCOS DB,,0,DISCOS DB
96,,0,DISCOS DB,,0,DISCOS DB
98,,0,DISCOS DB,,0,DISCOS DB
100,,0,DISCOS DB,,0,DISCOS DB
101,1.5,0,Default,,0,DISCOS DB
102,,0,DISCOS DB,,0,DISCOS DB
103,,0,DISCOS DB,,0,DISCOS DB
104,,0,DISCOS DB,,0,DISCOS DB
106,,0,DISCOS DB,,0,DISCOS DB
107,,0,DISCOS DB,,0,DISCOS DB
108,,0,DISCOS DB,,0,DISCOS DB
110,,0,DISCOS DB,,0,DISCOS DB
111,,0,DISCOS DB,,0,DISCOS DB
112,,0,DISCOS DB,,0,DISCOS DB
113,,0,DISCOS DB,,0,DISCOS DB
114,,0,DISCOS DB,,0,DISCOS DB
115,0.0636094418578687,0.046827863669687,SFK RCS Estimate,0.857288545944413,1.79611394752586,SFK RCS Estimate
116,,0,DISCOS DB,,0,DISCOS DB
117,,0,DISCOS DB,,0,DISCOS DB
118,,0,DISCOS DB,,0,DISCOS DB
119,0.179124929774047,0.127324951528385,SFK RCS Estimate,2.41361400791769,4.8030921978386,SFK RCS Estimate
120,0.22849260241267,0.209468229187572,SFK RCS Estimate,4.45455184903352,14.4596350693169,SFK RCS Estimate
121,0.435239603407836,0.24951330968568,SFK RCS Estimate,40.7131779303636,55.5652810002713,SFK RCS Estimate
122,0.518896333759803,0.560025608330942,SFK RCS Estimate,26.7753939510671,89.0948785084263,SFK RCS Estimate
123,0.2694261093219,0.209532253771302,SFK RCS Estimate,7.17741988060146,15.5753406787815,SFK RCS Estimate
124,0.2101773097038,0.173127441919842,SFK RCS Estimate,3.34332706935222,8.2387885459937,SFK RCS Estimate
125,0.0862093379080592,0.0830425968150966,SFK RCS Estimate,0.623758676333355,1.67583860180416,SFK RCS Estimate
126,0.423861951222773,0.365648678881265,SFK RCS Estimate,10.0442279592752,29.8605556852852,SFK RCS Estimate
127,0.646481098991908,0.687185287377477,SFK RCS Estimate,27.2523012374081,73.1622554613693,SFK RCS Estimate
128,0.298120907318889,0.22214847604976,SFK RCS Estimate,14.4264314058669,30.4124582802027,SFK RCS Estimate
130,0.567273089048988,0.358026252591457,SFK RCS Estimate,56.5312319913131,89.647761289489,SFK RCS Estimate
131,0.182800358274516,0.113170130900534,SFK RCS Estimate,3.5273320966485,5.35322822655001,SFK RCS Estimate
132,0.433813355820023,0.247819007862198,SFK RCS Estimate,37.6721953621074,50.8959574534378,SFK RCS Estimate
133,0.675276765267367,0.710610778243895,SFK RCS Estimate,29.5384064359872,87.0996080832329,SFK RCS Estimate
134,1.12293552445691,0.703960239958531,SFK RCS Estimate,147.476705598672,231.250060115333,SFK RCS Estimate
136,0.407342573818393,0.455306474198608,SFK RCS Estimate,11.7417810184778,32.6686463840959,SFK RCS Estimate
138,0.361461466968742,0.382247221250836,SFK RCS Estimate,7.85215108154702,23.6587689372724,SFK RCS Estimate
141,0.57407470191476,0.638572258728445,SFK RCS Estimate,19.289444238004,52.0516638179727,SFK RCS Estimate
