Case,HBR,A09_InstProb,A09_PcMC1e8,A09_PcLinear100,CARA_Pc2D,CARA_Pc3D,CARA_PcMC,CARA_PcMCLo95,CARA_PcMCHi95,CARA_MCHits,CARA_MCTrials
1,15,0,0.21746714,0.146749549,0.146749500506248,0.216808362760001,0.21686537,0.216784601089679,0.216946155301232,21686537,100000000
2,4,0,0.01573662,0.006222267,0.00622226705532899,0.0155677489682704,0.0155469,0.0155226614929474,0.0155711665578351,1554690,100000000
3,15,0,0.10084642,0.100351176,0.100351017066071,0.100336423200142,0.10034086,0.100281978677948,0.100399764459375,10034086,100000000
4,15,0,0.07308953,0.049323406,0.0493220745447709,0.0736404193831196,0.07364054,0.0735893560196113,0.0736917486638813,7364054,100000000
5,10,0,0.044498913,0.044487386,0.044492344523551,0.0444898133497832,0.04446611,0.044425717781909,0.0445065285915099,4446611,100000000
6,10,0,0.0043005,0.004335455,0.00433545396136356,0.00433313097018186,0.00432422,0.00431136875715775,0.00433709995038931,432422,100000000
7,10,0,0.000161462,0.000158147,0.000158146485930144,0.000161841230198079,0.00016011,0.000157639645593939,0.000162609365493197,16011,100000000
8,4,0,0.03525608,0.036948008,0.036947965085717,0.0352501749613797,0.03523735,0.0352012207992815,0.0352735061089634,3523735,100000000
9,6,0.08419863,0.36511606,0.290146291,0.290161522245745,0.279834261489978,0.27977477,0.279686790854236,0.279862761894709,27977477,100000000
10,6,0,0.36295247,0.290146291,0.290161522245745,0.364063796450824,0.36404591,0.363951602995593,0.364140224874815,36404591,100000000
11,4,0.001921132,0.00332853,0.002672026,0.00267203364642589,0.00244074884499185,0.00243642,0.00242676679408548,0.00244610202771047,243642,100000000
12,4,0,0.00255595,0.001917487,NaN,0.00244154735801805,0.00242273,0.00241310391323561,0.00243238490940897,242273,100000000
